name,genre,time,year,country,lang,production bdget,domestic gross,world wide gross,rate,neto income
188,1.0,150.0,2005,65.0,21.0,150000000.0,290201760.0,886746240.0,7.4,736746240.0
189,0.0,138.0,2003,2.0,21.0,150000000.0,281553700.0,738576960.0,7.2,588576960.0
190,7.0,100.0,2007,66.0,21.0,150000000.0,256393010.0,585532700.0,6.8,435532700.0
191,9.0,113.0,2016,66.0,21.0,150000000.0,248757040.0,634965570.0,6.5,484965570.0
192,0.0,92.0,2008,66.0,21.0,150000000.0,227946270.0,624234240.0,5.9,474234240.0
193,0.0,132.0,2021,66.0,21.0,150000000.0,224543300.0,432243300.0,7.3,282243300.0
194,1.0,115.0,2005,66.0,21.0,150000000.0,206459070.0,475825470.0,5.1,325825470.0
195,1.0,110.0,2007,66.0,21.0,150000000.0,206445650.0,626549700.0,8.7,476549700.0
196,0.0,111.0,2013,66.0,21.0,150000000.0,206362140.0,644602500.0,7.5,494602500.0
197,0.0,140.0,2005,66.0,21.0,150000000.0,205343780.0,358858100.0,9.4,208858100.0
198,0.0,131.0,2015,66.0,21.0,150000000.0,195042380.0,688859000.0,8.8,538859000.0
199,0.0,107.0,2017,22.0,21.0,150000000.0,190068290.0,518058800.0,7.1,368058800.0
200,0.0,113.0,2011,66.0,21.0,150000000.0,181030620.0,449326620.0,7.6,299326620.0
201,1.0,89.0,2008,66.0,21.0,150000000.0,180174880.0,599680800.0,6.6,449680800.0
202,0.0,107.0,2009,66.0,21.0,150000000.0,179883150.0,374825760.0,8.0,224825760.0
203,1.0,105.0,2009,66.0,21.0,150000000.0,177243730.0,402231070.0,9.3,252231070.0
204,1.0,90.0,2011,66.0,21.0,150000000.0,165249060.0,664837570.0,8.5,514837570.0
205,0.0,120.0,2015,66.0,21.0,150000000.0,153636350.0,367457900.0,8.6,217457900.0
206,1.0,104.0,2019,36.0,21.0,150000000.0,144105340.0,431344160.0,7.0,281344160.0
207,0.0,129.0,2003,66.0,21.0,150000000.0,139270910.0,427300260.0,6.0,277300260.0
208,1.0,140.0,2018,66.0,21.0,150000000.0,137690180.0,579055700.0,7.7,429055700.0
209,1.0,82.0,2005,66.0,21.0,150000000.0,135386670.0,310043800.0,4.7,160043800.0
210,0.0,126.0,2006,66.0,21.0,150000000.0,133501340.0,399387740.0,6.6,249387740.0
211,11.0,138.0,2009,66.0,21.0,150000000.0,133375850.0,490875840.0,7.4,340875840.0
212,0.0,162.0,2004,42.0,21.0,150000000.0,133298580.0,483152030.0,7.3,333152030.0
213,1.0,103.0,2010,66.0,21.0,150000000.0,131772184.0,319713900.0,7.0,169713900.0
214,1.0,90.0,2007,66.0,21.0,150000000.0,126631280.0,287594600.0,5.3,137594600.0
215,1.0,87.0,2009,66.0,21.0,150000000.0,119436770.0,292817860.0,6.5,142817860.0
216,1.0,96.0,2008,66.0,21.0,150000000.0,114053576.0,328015040.0,7.4,178015040.0
217,1.0,109.0,2021,66.0,21.0,150000000.0,96093624.0,230590080.0,6.1,80590080.0
218,1.0,99.0,2012,65.0,21.0,150000000.0,83670080.0,305270080.0,5.0,155270080.0
219,1.0,115.0,2007,66.0,21.0,150000000.0,82280580.0,195080580.0,5.0,45080580.0
220,2.0,112.0,2012,66.0,21.0,150000000.0,79727150.0,238202670.0,4.6,88202670.0
221,11.0,131.0,2013,66.0,21.0,150000000.0,73103784.0,205440380.0,6.2,55440380.0
222,3.0,115.0,2021,66.0,21.0,150000000.0,70592220.0,144003740.0,7.9,-5996260.0
223,7.0,102.0,2010,66.0,21.0,150000000.0,62189884.0,142634350.0,6.7,-7365650.0
224,0.0,104.0,2016,13.0,21.0,150000000.0,45157104.0,334486850.0,7.9,184486850.0
225,1.0,111.0,2015,66.0,21.0,150000000.0,35088320.0,151525970.0,8.8,1525970.0
226,1.0,88.0,2011,66.0,21.0,150000000.0,21392758.0,39549760.0,4.0,-110450240.0
227,0.0,124.0,2022,66.0,21.0,150000000.0,19060660.0,57059030.0,7.0,-92940970.0
228,0.0,115.0,2021,66.0,21.0,150000000.0,19060660.0,173638.0,9.2,-149826362.0
229,1.0,85.0,2006,66.0,21.0,149000000.0,64665670.0,179357120.0,6.5,30357120.0
230,1.0,85.0,2012,66.0,21.0,145000000.0,216391490.0,746921300.0,9.0,601921300.0
231,0.0,132.0,2011,66.0,5.0,145000000.0,209397900.0,694713200.0,9.3,549713200.0
232,1.0,102.0,2014,66.0,21.0,145000000.0,177002930.0,614586240.0,8.9,469586240.0
233,1.0,88.0,1999,66.0,21.0,145000000.0,171091820.0,448191800.0,7.5,303191800.0
